#;QTY;REFDES;DEVICE;DESCRIPTION;PACKAGE;MANUFACTURER;PARTNO;VALUE;
134;2;R122,R125;RES0402X0_55;;RESC1005X40N;ROYAL OHM;0402WGF0151T1E;150R;
135;3;R123,R124,R131;RES0402X0_55;;RESC1005X40N;ROYAL OHM;0402WGF0103T1E;10K;
136;1;R135;;;RESC1005X40N;ROYAL OHM;0402WGF1002T1E;10K;
137;1;R143;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF6342T1E;63K4;
138;1;R146;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF1581T1E;1K58;
139;1;R147;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF6982T1E;6K98;
140;1;R148;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF4752T1E;4K75;
141;1;R149;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF1021T1E;1K02;
142;1;R159;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF0273T1E;27K;
143;1;R160;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF0563T1E;56K;
144;8;R161,R162,R163,R288,R289,R290,R291,R299;;;RESC1005X40N;ROYAL OHM;0402WGF499JT1E;10K;
145;1;R164;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF0330T1E;33R;
146;2;R168,R169;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF0121T1E;120R;
147;16;R170,R171,R172,R238,R243,R245,R247,R249,R252,R264,R265,R266,R268,R269,R270,R271;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF0222T1E;2K2;
148;1;R177;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF5361T1E;5K36;
149;1;R179;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF2372T1E;2K37;
150;2;R180,R181;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF499JT1E;10K;
151;1;R182;RES_3R40K_0402_1%;;RESC1005X40N;ROYAL OHM;0402WGF3401T1E;3K4;
152;6;R183,R192,R193,R207,R208,R267;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF0102T1E;1K;
153;1;R185;;;VISHAY_AC05;VISHAY;AC05000001009JLB00;10R;
154;1;R187;;;VISHAY_AC05;VISHAY;AC05000005609JLB00;56R;
155;3;R213,R218,R219;RES0402X0_40;;RESC1005X40N;ROYAL OHM;0402WGF0103T1E;100K;
156;2;R214,R217;RES0402X0_40;;RESC1005X40N;ROYAL OHM;0402WGF3601T1E;3K6;
157;2;R215,R216;RES0402X0_40;;RESC1005X40N;ROYAL OHM;0402WGF01821T1E;1K8;
158;1;R220;RES0402X0_40;;RESC1005X40N;ROYAL OHM;0402WGF4421T1E;4K42;
159;1;R221;RES0402X0_40;;RESC1005X40N;ROYAL OHM;0402WGF1101T1E;1K1;
160;5;R244,R246,R248,R250,R251;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF0331T1E;330R;
161;1;R253;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF9761T1E;9K76;
162;1;R262;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF0100T1E;10;
163;1;R263;RES0402_55;;RESC1005X40N;ROYAL OHM;0402WGF0180T1E;18;
164;5;R278,R279,R280,R283,R285;;;RESC1005X40N;ROYAL OHM;0402WGF0103T1E;100K;
165;1;R281;;;RESC1005X40N;ROYAL OHM;0402WGF1151T1E;1K15;
166;1;R282;;;RESC1005X40N;ROYAL OHM;0402WGF3571T1E;3K57;
167;2;R284,R286;;;RESC1005X40N;ROYAL OHM;0402WGF0181T1E;180R;
168;3;R287,R293,R294;;;RESC5025X90N;VISHAY DALE;WSL2010R0100FEA;0R01;
169;2;R292,R296;;;RESC5025X90N;VISHAY DALE;WSL20104L700FEA;0R0047;
170;1;R295;;;RESC6432X89N;VISHAY DALE;WSL25122L200FEA;0R0022;
171;1;R298;;;RESC6432X89N;VISHAY DALE;WSL25121L000FEA;0R001;
172;1;R305;;;RESC1005X40N;ROYAL OHM;0402WGF3300T1E;330R;
173;1;R306;;;RESC1005X40N;ROYAL OHM;0402WGF2400T1E;240R;
174;5;RO1,RO2,RO3,RO4,RO5;RES_1K_0402_5%_OPT;;RESC1005X40N;ROYAL OHM;0402WGF0102T1E;1K;
175;3;RO10,RO11,RO14;RES_10K_0402_5%_OPT3P;;RESC3P1505X40N;ROYAL OHM;0402WGJ0104T1E;10K;
176;24;RP1,RP2,RP3,RP4,RP5,RP6,RP7,RP8,RP9,RP10,RP11,RP12,RP27,RP28,RP29,RP30,RP31,RP32,RP33,RP34,RP35,RP36,RP37,RP38;RESPACK51X4;;RESCAV50P100X200X55-8N;ROYAL OHM;4D02WGJ0510T;51R;
177;14;RP13,RP14,RP15,RP16,RP17,RP18,RP19,RP20,RP21,RP22,RP23,RP24,RP25,RP26;RESPACK4;;RESCAV50P100X200X55-8N;ROYAL OHM;4D02WGJ0510B1E;49.9R;
178;1;SNP1;;;SNPATCH;;;;
179;1;SP2;SUP_ESD_SOT23_1KV;;SOT23-SC203P224X300X76-3N;LITTELFUSE;PGB102ST23WR;PGB102ST23WR;
180;1;SW1;SWITCH_PB_SMT;;BOURNS7914G;BOURNS;7914G;SPST;
181;2;SW2,SW3;SWITCH_DIP_4POLE_0R1_SMT8;;90HB_SERIES;OMRON;A6S-4101-H;4POLE;
182;1;TP1;PAD_1MM_SMT;;TP_SMT_1MM;NA;NA;TEST POINT;
183;8;TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9;TP_ROUND100;TEST POINT;TPR100;NA;N/A;;
184;1;U1;IC_CPU_TE-PBGA680_440EPX-GRX;;BGA680C100P34X34_3500X3500X265;AMCC;PPC440EPX-NTA533T;440EPX;
185;1;U2;SN74AHC1G125;;SOT65P210X110-5N;TEXAS INSTRUMENTS;SN74AHC1G125DCKT;;
186;1;U3;TL7700;;SOIC127P780X200-8N;TI;TL7700CPSR;;
187;2;U4,U5;ADCMP605;;QFN50P300X300X100-13N;ANALOG DEVICES;ADCMP605BCPZ;;
188;1;U6;CDCU877;;PQFN50P602X602X100-41N;TI;CDCU877ARHAT;;
189;2;U8,U26;SY89832U;;QFN50P300X300X90-17N;MICREL;SY89832UMI;;
190;1;U9;IC_CLKGEN_SOIC8_0211P21;;SOIC127P602X173-8N;CYPRESS;CY22381FXI_0211P2;CY22381FX_0211;
191;5;U10,U11,U12,U13,U14;SN74AVCH4T245DGV;;SOP40P640X120-16N;TEXAS INSTRUMENTS;74AVCH4T245DGVRE4;;
192;1;U15;5VSX95T;;BGA1136C100P34X34_3500X3500X340;XILINX;XC5VSX95T;;
193;4;U16,U32,U33,U62;TPS51100DGQ;;SOP50P490X110-11N;TEXAS INSTRUMENTS;TPS51100DGQ;TPS51100DGQ;
194;2;U17,U63;QDRIIP_X18_SA21_0;QDRII+ X18 CONFIGURATION;BGA165C100P11X15_1500X1700X140;SAMSUNG;K7S3218T4C-FC40;;
195;4;U18,U19,U28,U29;TPS2031;;SOIC127P600X175-8N;TEXAS INSTRUMENTS;TPS2031D;;
196;2;U20,U30;MAX9032AKA;;SOT80P330X140-8N;MAXIM;MAX9032AKA;;
197;2;U21,U34;MAX9032AKA;;SOT80P330X140-8M;MAXIM;MAX9032AKA;;
198;4;U22,U23,U36,U37;SN74AHC1G08DCKR;;SOT65P210X110-5N;TEXAS INSTRUMENTS;SN74AHC1G08DCKR;;
199;1;U24;IC_CLKGEN_SOIC16_CY2292F;;SOIC127P600X173-16N;CYPRESS;CY2292F;CY2292FZX_0211;
200;1;U25;ADR03;;SOIC127P600X175-8N;ANALOG DEVICES;ADR03ARZ;;
201;1;U27;PTH08T220WAD;;PTH08T220W_EAS;TEXAS INSTRUMENTS;PTH08T220WAD;;
202;1;U31;IC_RSTVM_SOT235_2774_THR2R93V;;SOT95P280X145-5N;MICREL;MIC2774N-29YMS;MIC2774N-29;
203;1;U35;IC_AND_SC70_SINGLE_74LVC1G08;;SOT65P210X110-5N;TEXAS INSTRUMENTS;SN74LVC1G08DCKR;74LVC1G08;
204;2;U38,U40;MEMEE_512MBX8_SOIC8_100KHZ_I2C;;SOIC127P600X175-8N;ATMEL;AT24C04N-10SU-1.8;AT24C04;
205;1;U41;IC_TEMP_SOT23-6_I2C_AD7414-0;;SOT95P284X145-6N;ANALOG DEVICES;AD7414ARTZ-0;AD7414-0;
206;1;U42;MEMF_512MBX16_BGA64_MBIT_110NS;;BGA64C100P8X8_1100X1300X140;SPANSION;S29GL512N11FFI010;32MX16 MIRROR BIT;
207;2;U43,U44;IC_RS232_SSOP20_3225_E3-5V;;SOP65P778X200-20N;INTERSIL;ICL3225EIAZ;ICL3225ECA;
208;3;U45,U46,U48;IC_ANSW_ZDFN6_SPDT_XXX3157;;SON50P100X151X80-6N;PERICOM;PI5A3157ZAEX;PI5A3157;
209;1;U50;PTH05T210WAD;;PTH08T210W_ECP;TEXAS INSTRUMENTS;PTH05T210WAD;PTH05T210WAD;
210;1;U51;PTH08T240WAD;;PTH08T240W_EBS;TEXAS INSTRUMENTS;PTH08T240WAD;PTH08T240WAD;
211;1;U53;PTH08T230WAD;;PTH08T230W_ECL;TEXAS INSTRUMENTS;PTH08T230WAD;;
212;1;U54;XC2C256;;QFP50P2200X2200X160-144N;XILINX;XC2C256_7VQ144C;;
213;4;U55,U56,U57,U59;TPS74X;;QFN65P500X500X100-21AL;TEXAS INSTRUMENTS;TPS74401RGWT;TPS74401RGWT;
214;1;U58;NATSEMI_DP83865DVH;;QFP50P1720X2320X290-128N;NATIONAL;DP83865DVH;;
215;1;U60;ROACH_AFS600;;BGA256C100P16X16_1700X1700X170;ACTEL;AFS600-FG256;;
216;1;U61;ADM3101E;;QFN50P300X300X100-13N;ANALOG DEVICES;ADM3101EACPZ-REEL;;
217;32;V1,V2,V3,V4,V5,V6,V7,V8,V9,V18,V19,V20,V21,V22,V23,V24,V25,V34,V35,V36,V37,V38,V39,V40,V49,V50,V51,V52,V53,V54,V55,V56;DIFFVIA;;DIFFVIA;NA;NA;;
218;1;VR4;VAR_5R5V_0603_30A;;VARC1608X90N;LITTELFUSE;V5.5MLA0603XXX;5.5V 20A;
219;2;X1,X4;SMDCLK;;OSCSC254P525X720X180-6N;CRYSTEK;CCLD-023-25-156.250;156.25MHZ;
220;1;X2;SMDCLK;;OSCSC254P525X720X180-6N;CRYSTEK;CCLD-023-25-100.000;100.00MHZ;
221;1;X3;SMDCLK;;OSCSC254P525X720X180-6N;CRYSTEK;CCLD-024-25-200.000;200.00MHZ;
222;1;X5;;;OSCL550P340X800X250-4N;ECS INTERNATIONAL;ECX-306;32.768KHZ;
223;1;Y1;XTAL_22R1184MHZ_SMT6X3_18PF_50P;;FX532A;CITIZEN;CS10-22.1184MAGJ-UT;22.1184MHZ;
224;1;Y2;XTAL_12R00MHZ_SMT6X3_18PF_50PPM;;FX532A;CITIZEN;CS10-12.000MAGJ-UT;12.00 MHZ;
